ECO_Code,Name,Moves,Short_Name,Ref_Link
C91,"Ruy Lopez, Closed",1 e4 e5 2 Nf3 Nc6 3 Bb5 a6 4 Ba4 Nf6 5 O-O Be7 6 Re1 b5 7 Bb3 O-O 8 c3 d6 9 d4,Ruy Lopez,https://www.chess.com/openings/Ruy-Lopez-Opening
C92,"Ruy Lopez, Closed",1 e4 e5 2 Nf3 Nc6 3 Bb5 a6 4 Ba4 Nf6 5 O-O Be7 6 Re1 b5 7 Bb3 O-O 8 c3 d6 9 h3,Ruy Lopez,https://www.chess.com/openings/Ruy-Lopez-Opening
C93,"Ruy Lopez, Closed, Smyslov Defense",1 e4 e5 2 Nf3 Nc6 3 Bb5 a6 4 Ba4 Nf6 5 O-O Be7 6 Re1 b5 7 Bb3 O-O 8 c3 d6 9 h3 h6,Ruy Lopez,https://www.chess.com/openings/Ruy-Lopez-Opening
C94,"Ruy Lopez, Closed, Breyer Defense",1 e4 e5 2 Nf3 Nc6 3 Bb5 a6 4 Ba4 Nf6 5 O-O Be7 6 Re1 b5 7 Bb3 O-O 8 c3 d6 9 h3 Nb8,Ruy Lopez,https://www.chess.com/openings/Ruy-Lopez-Opening
C95,"Ruy Lopez, Closed, Breyer",1 e4 e5 2 Nf3 Nc6 3 Bb5 a6 4 Ba4 Nf6 5 O-O Be7 6 Re1 b5 7 Bb3 O-O 8 c3 d6 9 h3 Nb8 10 d4,Ruy Lopez,https://www.chess.com/openings/Ruy-Lopez-Opening
C96,"Ruy Lopez, Closed",1 e4 e5 2 Nf3 Nc6 3 Bb5 a6 4 Ba4 Nf6 5 O-O Be7 6 Re1 b5 7 Bb3 O-O 8 c3 d6 9 h3 Na5 10 Bc2,Ruy Lopez,https://www.chess.com/openings/Ruy-Lopez-Opening
C97,"Ruy Lopez, Closed, Chigorin",1 e4 e5 2 Nf3 Nc6 3 Bb5 a6 4 Ba4 Nf6 5 O-O Be7 6 Re1 b5 7 Bb3 O-O 8 c3 d6 9 h3 Na5 10 Bc2 c5 11 d4 Qc7,Ruy Lopez,https://www.chess.com/openings/Ruy-Lopez-Opening
C98,"Ruy Lopez, Closed, Chigorin",1 e4 e5 2 Nf3 Nc6 3 Bb5 a6 4 Ba4 Nf6 5 O-O Be7 6 Re1 b5 7 Bb3 O-O 8 c3 d6 9 h3 Na5 10 Bc2 c5 11 d4 Qc7 12 Nbd2 Nc6,Ruy Lopez,https://www.chess.com/openings/Ruy-Lopez-Opening
C99,"Ruy Lopez, Closed, Chigorin, 12...cd",1 e4 e5 2 Nf3 Nc6 3 Bb5 a6 4 Ba4 Nf6 5 O-O Be7 6 Re1 b5 7 Bb3 O-O 8 c3 d6 9 h3 Na5 10 Bc2 c5 11 d4 Qc7 12 Nbd2 cxd4 13 cxd4,Ruy Lopez,https://www.chess.com/openings/Ruy-Lopez-Opening
D00,Queen's Pawn Game,1 d4 d5,Queen's Pawn Game,https://www.chess.com/openings/Queens-Pawn-Opening
D01,Richter-Veresov Attack,1 d4 d5 2 Nc3 Nf6 3 Bg5,Richter-Veresov Attack,https://www.chess.com/openings/Richter-Veresov-Attack
D02,Queen's Pawn Game,1 d4 d5 2 Nf3,Queen's Pawn Game,https://www.chess.com/openings/Queens-Pawn-Opening
D03,Torre Attack (Tartakower Variation),1 d4 d5 2 Nf3 Nf6 3 Bg5,Torre Attack (Tartakower Variation),https://www.chess.com/openings/Queens-Pawn-Opening-Torre-Attack
D04,Queen's Pawn Game,1 d4 d5 2 Nf3 Nf6 3 e3,Queen's Pawn Game,https://www.chess.com/openings/Queens-Pawn-Opening
D05,Queen's Pawn Game,1 d4 d5 2 Nf3 Nf6 3 e3 e6,Queen's Pawn Game,https://www.chess.com/openings/Queens-Pawn-Opening
D06,Queen's Gambit Declined,1 d4 d5 2 c4,Queen's Gambit Declined,https://www.chess.com/openings/Queens-Gambit-Declined
D07,"Queen's Gambit Declined, Chigorin Defense",1 d4 d5 2 c4 Nc6,Queen's Gambit Declined: Chigorin Defense,https://www.chess.com/openings/Queens-Gambit-Declined-Chigorin-Defense
D08,"Queen's Gambit Declined, Albin Counter Gambit",1 d4 d5 2 c4 e5,Queen's Gambit Declined: Albin Countergambit,https://www.chess.com/openings/Queens-Gambit-Declined-Albin-Countergambit
D09,"Queen's Gambit Declined, Albin Counter Gambit, 5.g3",1 d4 d5 2 c4 e5 3 dxe5 d4 4 Nf3 Nc6 5 g3,Queen's Gambit Declined: Albin Countergambit,https://www.chess.com/openings/Queens-Gambit-Declined-Albin-Countergambit
D10,Queen's Gambit Declined Slav,1 d4 d5 2 c4 c6,Slav Defense,https://www.chess.com/openings/Slav-Defense
D11,Queen's Gambit Declined Slav,1 d4 d5 2 c4 c6 3 Nf3,Slav Defense,https://www.chess.com/openings/Slav-Defense
D12,Queen's Gambit Declined Slav,1 d4 d5 2 c4 c6 3 Nf3 Nf6 4 e3 Bf5,Slav Defense,https://www.chess.com/openings/Slav-Defense
D13,"Queen's Gambit Declined Slav, Exchange Variation",1 d4 d5 2 c4 c6 3 Nf3 Nf6 4 cxd5 cxd5,Slav Defense,https://www.chess.com/openings/Slav-Defense
D14,"Queen's Gambit Declined Slav, Exchange Variation",1 d4 d5 2 c4 c6 3 Nf3 Nf6 4 cxd5 cxd5 5 Nc3 Nc6 6 Bf4 Bf5,Slav Defense,https://www.chess.com/openings/Slav-Defense
D15,Queen's Gambit Declined Slav,1 d4 d5 2 c4 c6 3 Nf3 Nf6 4 Nc3,Slav Defense,https://www.chess.com/openings/Slav-Defense
D16,Queen's Gambit Declined Slav,1 d4 d5 2 c4 c6 3 Nf3 Nf6 4 Nc3 dxc4 5 a4,Slav Defense,https://www.chess.com/openings/Slav-Defense
D17,Queen's Gambit Declined Slav,1 d4 d5 2 c4 c6 3 Nf3 Nf6 4 Nc3 dxc4 5 a4 Bf5,Slav Defense,https://www.chess.com/openings/Slav-Defense
